Scenario,Algorithm,Runtime (s),Distance,Visited Nodes,Start,Goal,Seed
empty,astar,0.0064356327056884766,14.949382989376328,131,"(13, 13, 7)","(2, 5, 9)",0
empty,astar,0.006095170974731445,14.949382989376328,131,"(13, 13, 7)","(2, 5, 9)",0
empty,astar,0.006140947341918945,14.949382989376328,131,"(13, 13, 7)","(2, 5, 9)",0
empty,astar,0.007414817810058594,14.949382989376328,131,"(13, 13, 7)","(2, 5, 9)",0
empty,astar,0.006106853485107422,14.949382989376328,131,"(13, 13, 7)","(2, 5, 9)",0
empty,astar,0.006095170974731445,14.949382989376328,131,"(13, 13, 7)","(2, 5, 9)",0
empty,astar,0.006009340286254883,14.949382989376328,131,"(13, 13, 7)","(2, 5, 9)",0
empty,astar,0.006081819534301758,14.949382989376328,131,"(13, 13, 7)","(2, 5, 9)",0
empty,astar,0.006035804748535156,14.949382989376328,131,"(13, 13, 7)","(2, 5, 9)",0
empty,astar,0.006113290786743164,14.949382989376328,131,"(13, 13, 7)","(2, 5, 9)",0
empty,astar,0.003605365753173828,11.7566303550217,72,"(5, 10, 2)","(9, 2, 8)",1
empty,astar,0.003555774688720703,11.7566303550217,72,"(5, 10, 2)","(9, 2, 8)",1
empty,astar,0.0034852027893066406,11.7566303550217,72,"(5, 10, 2)","(9, 2, 8)",1
empty,astar,0.0035390853881835938,11.7566303550217,72,"(5, 10, 2)","(9, 2, 8)",1
empty,astar,0.003537893295288086,11.7566303550217,72,"(5, 10, 2)","(9, 2, 8)",1
empty,astar,0.003820180892944336,11.7566303550217,72,"(5, 10, 2)","(9, 2, 8)",1
empty,astar,0.0035240650177001953,11.7566303550217,72,"(5, 10, 2)","(9, 2, 8)",1
empty,astar,0.0035829544067382812,11.7566303550217,72,"(5, 10, 2)","(9, 2, 8)",1
empty,astar,0.0036058425903320312,11.7566303550217,72,"(5, 10, 2)","(9, 2, 8)",1
empty,astar,0.0036132335662841797,11.7566303550217,72,"(5, 10, 2)","(9, 2, 8)",1
empty,astar,0.003638029098510742,11.560477932315067,74,"(2, 2, 2)","(12, 3, 5)",2
empty,astar,0.004406929016113281,11.560477932315067,74,"(2, 2, 2)","(12, 3, 5)",2
empty,astar,0.0034646987915039062,11.560477932315067,74,"(2, 2, 2)","(12, 3, 5)",2
empty,astar,0.0033562183380126953,11.560477932315067,74,"(2, 2, 2)","(12, 3, 5)",2
